"id","name","category","subcategory","description","price","image_url","in_stock","created_at","updated_at","brand","series","material","features","specifications","dimensions","weight","color","model","sku"
"305","Sovereign","Metal Pens","Astral Series","Premium metal pen from the Astral Series collection",,"astral_sovereign.jpg","true",2025-07-27T06:35:35.235Z,2025-07-27T06:35:35.235Z,"Dyna","Astral Series","Metal","Smooth writing experience, Premium metal construction, Elegant design",,,,,,
"306","Zenith","Metal Pens","Astral Series","Premium metal pen from the Astral Series collection",,"astral_zenith.jpg","true",2025-07-27T06:35:35.235Z,2025-07-27T06:35:35.235Z,"Dyna","Astral Series","Metal","Smooth writing experience, Premium metal construction, Elegant design",,,,,,
"307","Essence","Metal Pens","Vertex Series","Premium metal pen from the Vertex Series collection",,"vertex_essence.jpg","true",2025-07-27T06:35:35.235Z,2025-07-27T06:35:35.235Z,"Dyna","Vertex Series","Metal","Smooth writing experience, Premium metal construction, Elegant design",,,,,,
"308","Essence","Metal Pens","Vertex Series","Premium metal pen from the Vertex Series collection",,"vertex_essence_2.jpg","true",2025-07-27T06:35:35.235Z,2025-07-27T06:35:35.235Z,"Dyna","Vertex Series","Metal","Smooth writing experience, Premium metal construction, Elegant design",,,,,,
"309","Galaxy","Metal Pens","Lumin Series","Premium metal pen from the Lumin Series collection",,"lumin_galaxy.jpg","true",2025-07-27T06:35:35.235Z,2025-07-27T06:35:35.235Z,"Dyna","Lumin Series","Metal","Smooth writing experience, Premium metal construction, Elegant design",,,,,,
"310","Galaxy","Metal Pens","Lumin Series","Premium metal pen from the Lumin Series collection",,"lumin_galaxy_2.jpg","true",2025-07-27T06:35:35.235Z,2025-07-27T06:35:35.235Z,"Dyna","Lumin Series","Metal","Smooth writing experience, Premium metal construction, Elegant design",,,,,,
"311","Divine Pen 1","Metal Pens","Innovate & Other Series","Premium metal pen from the Innovate Series collection",,"innovate_divine_1.jpg","true",2025-07-27T06:35:35.235Z,2025-07-27T06:35:35.235Z,"Dyna","Innovate Series","Metal","Smooth writing experience, Premium metal construction, Elegant design",,,,,,
"312","Divine Pen 2","Metal Pens","Innovate & Other Series","Premium metal pen from the Innovate Series collection",,"innovate_divine_2.jpg","true",2025-07-27T06:35:35.235Z,2025-07-27T06:35:35.235Z,"Dyna","Innovate Series","Metal","Smooth writing experience, Premium metal construction, Elegant design",,,,,,
"313","Stallio Bucket","Household Products","Water Buckets","Durable plastic buckets available in various sizes and with optional lids",,"stallio_bucket.jpg","true",2025-07-27T06:35:35.235Z,2025-07-27T06:35:35.235Z,"Stallio",,,"Available with or without lid, Durable plastic, Printed options",,,,,,
"314","Round Bucket","Household Products","Water Buckets","Round buckets available in printed or plain designs",,"round_bucket.jpg","true",2025-07-27T06:35:35.235Z,2025-07-27T06:35:35.235Z,,,,,,,,,,
"315","Mug Polo","Household Products","Bath Mug","Durable plastic bath mugs in the Polo design",,"mug_polo.jpg","true",2025-07-27T06:35:35.235Z,2025-07-27T06:35:35.235Z,,,,,,,,,,
"316","Mug Square","Household Products","Bath Mug","Square-shaped bath mugs available in plain or printed designs",,"mug_square.jpg","true",2025-07-27T06:35:35.235Z,2025-07-27T06:35:35.235Z,,,,,,,,,,
"317","Papad Box","Household Products","Storage Containers","Specialized containers for storing papads and similar dry snacks",,"papad_box.jpg","true",2025-07-27T06:35:35.235Z,2025-07-27T06:35:35.235Z,,,,,,,,,,
"318","TP Set","Household Products","Storage Containers","Set of transparent plastic containers for food storage",,"tp_set.jpg","true",2025-07-27T06:35:35.235Z,2025-07-27T06:35:35.235Z,,,,,,,,,,
"319","Aluminium Pressure Cooker","Kitchen World","Pressure Cookers","Crafted from virgin aluminium. Extra heavy gauge, rust-free stainless steel vent tube, bakelite heat-resistant handles, and safety valve.",,"aluminium_pressure_cooker.jpg","true",2025-07-27T06:35:35.235Z,2025-07-27T06:35:35.235Z,"OJAS",,"Aluminium","Virgin aluminium construction, Heavy gauge material, Rust-free stainless steel vent tube, Heat-resistant bakelite handles, Safety valve",,,,,,
"320","Elegance Plain Aluminium Pressure Cooker","Kitchen World","Pressure Cookers","Premium virgin aluminium, extra heavy gauge. Rust-free SS vent, heat-resistant bakelite handles, safety valve, and curved body for easy stirring.",,"elegance_plain_cooker.jpg","true",2025-07-27T06:35:35.235Z,2025-07-27T06:35:35.235Z,"OJAS",,"Aluminium","Premium virgin aluminium, Extra heavy gauge, Rust-free stainless steel vent, Heat-resistant bakelite handles, Safety valve, Curved body for easy stirring",,,,,,
"321","Single Burner Stove","Kitchen World","Gas Stoves","Compact gas stoves ideal for single-burner kitchens, student accommodations or as auxiliary burners.",,"single_burner_stove.jpg","true",2025-07-27T06:35:35.235Z,2025-07-27T06:35:35.235Z,"OJAS",,,,,,,,,
"322","Double Burner Stove","Kitchen World","Gas Stoves","Wide range of double-burner stoves in varying finishes, features, and designs for household or semi-commercial use.",,"double_burner_stove.jpg","true",2025-07-27T06:35:35.235Z,2025-07-27T06:35:35.235Z,"OJAS",,,,,,,,,
"323","300 x 200 x 70 mm Crate","Industrial Plastic Crates","300 x 200 Series","Industrial plastic crate suitable for small parts storage",,"300x200x70_crate.jpg","true",2025-07-27T06:35:35.235Z,2025-07-27T06:35:35.235Z,"Saran",,,,,,,,,
"324","300 x 200 x 100 mm Crate","Industrial Plastic Crates","300 x 200 Series","Industrial plastic crate suitable for small parts storage",,"300x200x100_crate.jpg","true",2025-07-27T06:35:35.235Z,2025-07-27T06:35:35.235Z,"Saran",,,,,,,,,
"325","400 x 300 x 65 mm Crate","Industrial Plastic Crates","400 x 300 Series","Industrial plastic crate suitable for medium parts storage",,"400x300x65_crate.jpg","true",2025-07-27T06:35:35.235Z,2025-07-27T06:35:35.235Z,"Saran",,,,,,,,,
"326","400 x 300 x 100 mm Crate","Industrial Plastic Crates","400 x 300 Series","Industrial plastic crate suitable for medium parts storage",,"400x300x100_crate.jpg","true",2025-07-27T06:35:35.235Z,2025-07-27T06:35:35.235Z,"Saran",,,,,,,,,
"327","Hotel Soap – Square (Orange)","Hotel Amenities","Hotel Soaps","Available in transparent orange square form. Bulk packaging for hotels.",,"hotel_soap_orange.jpg","true",2025-07-27T06:35:35.235Z,2025-07-27T06:35:35.235Z,,,,,,,,,,
"328","Hotel Soap – Round (Yellow)","Hotel Amenities","Hotel Soaps","Round yellow soap bars, ideal for hotel amenities.",,"hotel_soap_yellow.jpg","true",2025-07-27T06:35:35.235Z,2025-07-27T06:35:35.235Z,,,,,,,,,,
"329","Moisturizer","Hotel Amenities","Guest Toiletries","High-quality 20ml moisturizer, travel-sized for hotels. Custom branding and eco-friendly packaging.",,"moisturizer_20ml.jpg","true",2025-07-27T06:35:35.235Z,2025-07-27T06:35:35.235Z,,,,"Premium, skin-friendly ingredients, Recyclable bottles, Custom branding available",,,,,,
"330","Conditioner","Hotel Amenities","Guest Toiletries","20ml hotel conditioner in convenient bottle. Custom hotel branding possible.",,"conditioner_20ml.jpg","true",2025-07-27T06:35:35.235Z,2025-07-27T06:35:35.235Z,,,,"Premium, skin-friendly ingredients, Recyclable bottles, Custom branding available",,,,,,
"331","Triply Kadai","Premium Cookware","Tri-Ply Stainless Steel","Premium triply stainless steel kadai available in multiple sizes with or without lid",,"triply_kadai.jpg","true",2025-07-27T06:35:35.235Z,2025-07-27T06:35:35.235Z,"Bergner","TriPro",,"Tri-ply construction: even heat distribution, prevents hot spots, Compatible with induction and gas stoves, Premium handles and finishing",,,,,,
