"id","name","category","subcategory","description","price","image_url","in_stock","created_at","updated_at","brand","series","material","features","specifications","dimensions","weight","color","model","sku","capacity","variants"
"4000","Elite GT Pen","Metal Pen","Metal Pens","Premium executive ball pen with chrome finish. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.317Z,2025-07-27T07:05:49.317Z,"Shivaya",,,,,,,,,,,
"4001","Chrome Edge Pen","Metal Pen","Metal Pens","Chrome-finished premium ball pen for professional use. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.317Z,2025-07-27T07:05:49.317Z,"Shivaya",,,,,,,,,,,
"4002","Dyna Smooth Grip","Metal Pen","Metal Pens","Smooth grip premium ball pen for comfortable writing. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.317Z,2025-07-27T07:05:49.317Z,"Shivaya",,,,,,,,,,,
"4003","Dyna Budget Pen","Metal Pen","Metal Pens","Cost-effective promotional ball pen for bulk orders. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.317Z,2025-07-27T07:05:49.317Z,"Shivaya",,,,,,,,,,,
"4004","Push-Button Promo","Metal Pen","Metal Pens","Push-button promotional pen with click mechanism. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.317Z,2025-07-27T07:05:49.317Z,"Shivaya",,,,,,,,,,,
"4005","Curve Clip Pen","Metal Pen","Metal Pens","Curved clip promotional pen for easy attachment. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.317Z,2025-07-27T07:05:49.317Z,"Shivaya",,,,,,,,,,,
"4006","Executive Metal Set","Metal Pen","Metal Pens","Premium executive metal pen gift set. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.317Z,2025-07-27T07:05:49.317Z,"Shivaya",,,,,,,,,,,
"4007","Pen + Keychain Set","Metal Pen","Metal Pens","Pen and keychain combination gift set. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.317Z,2025-07-27T07:05:49.317Z,"Shivaya",,,,,,,,,,,
"4008","3-in-1 Corporate Combo","Metal Pen","Metal Pens","3-in-1 corporate gift combo with multiple functions. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.317Z,2025-07-27T07:05:49.317Z,"Shivaya",,,,,,,,,,,
"4009","Stylus Chrome Grip","Metal Pen","Metal Pens","Chrome grip stylus pen for touch devices. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.317Z,2025-07-27T07:05:49.317Z,"Shivaya",,,,,,,,,,,
