"id","name","category","subcategory","description","price","image_url","in_stock","created_at","updated_at","brand","series","material","features","specifications","dimensions","weight","color","model","sku"
"275","Barbeque Aanch","Barbeque","","Traditional/modern barbeque set for indoor or outdoor grilling.",,,"true",2025-07-27T06:35:35.225Z,2025-07-27T06:35:35.225Z,,,,,,,,,,
"356","Comb","Combs","",,,,"true",2025-07-27T06:35:35.239Z,2025-07-27T06:35:35.239Z,,,,,,,,"White",,
"273","Amlet","Cookware","","Specialty utensil, likely for making omelettes, as per regional terminology.",,,"true",2025-07-27T06:35:35.225Z,2025-07-27T06:35:35.225Z,,,,,,,,,,
"271","Cookware Set","Cookware","","Comprehensive kitchen cookware set, suitable for all standard Indian cooking needs.",,,"true",2025-07-27T06:35:35.224Z,2025-07-27T06:35:35.224Z,,,,,,,,,,
"272","Idli Pot","Cookware","","Aluminium idli steamers; available in basic (NP), heavy, and deluxe series for different capacity requirements.",,,"true",2025-07-27T06:35:35.225Z,2025-07-27T06:35:35.225Z,,"[object Object]",,,,,,,,
"346","Dental Kit","Dental & Oral Care","","Complete dental kit (toothpaste+toothbrush) in printed box for hotels. MOQ 500 sets.",,,"true",2025-07-27T06:35:35.239Z,2025-07-27T06:35:35.239Z,,,,,,,,,,
"348","Plastic Toothbrush","Dental & Oral Care","","Standard white hotel-use toothbrushes.",,,"true",2025-07-27T06:35:35.239Z,2025-07-27T06:35:35.239Z,,,,,,,,,,
"345","Toothpaste","Dental & Oral Care","","Available in leading Indian brands. Small tubes ideal for one-time hotel guest use.",,,"true",2025-07-27T06:35:35.239Z,2025-07-27T06:35:35.239Z,,,,,,,,,,
"347","Wooden Toothbrush","Dental & Oral Care","","Eco-friendly bamboo/wooden toothbrush for sustainable hotel amenities.",,,"true",2025-07-27T06:35:35.239Z,2025-07-27T06:35:35.239Z,,,"Wood",,,,,,,
"343","Disposable Slippers (Green Logo)","Disposable Slippers","","Branded with a green logo, these are also suitable for hotels and guest rooms.",,,"true",2025-07-27T06:35:35.239Z,2025-07-27T06:35:35.239Z,,,,"Soft, breathable material, Non-slip sole for all surfaces, Green logo branding",,,,,,
"342","Disposable Slippers (Regular)","Disposable Slippers","","Comfortable, hygienic slippers for hotels, spas, salons, or guest use.",,,"true",2025-07-27T06:35:35.239Z,2025-07-27T06:35:35.239Z,,,,"Soft, breathable material, Non-slip sole for safety on various surfaces, Unisex – suitable for men and women",,,,,,
"344","Disposable Slippers (With Open Toe)","Disposable Slippers","","Open toe slippers for enhanced comfort, supplied in bulk.",,,"true",2025-07-27T06:35:35.239Z,2025-07-27T06:35:35.239Z,,,,"Open toe design, Soft and breathable, Non-slip",,,,,,
"260","Double Burner Stove","Gas Stove","","Wide range of double-burner stoves in varying finishes, features, and designs for household or semi-commercial use.",,,"true",2025-07-27T06:35:35.224Z,2025-07-27T06:35:35.224Z,,,,,,,,,,
"262","Four Burner Stove","Gas Stove","","Premium four burner gas stove for professional or higher-end contemporary kitchens.",,,"true",2025-07-27T06:35:35.224Z,2025-07-27T06:35:35.224Z,,,,,,,,,,
"263","Green Gas 2 Burner","Gas Stove","","Eco-friendly model, further details available on request.",,,"true",2025-07-27T06:35:35.224Z,2025-07-27T06:35:35.224Z,,,,,,,,,,
"264","Original Burner","Gas Stove","","Standard, classic burner style.",,,"true",2025-07-27T06:35:35.224Z,2025-07-27T06:35:35.224Z,,,,,,,,,,
"259","Single Burner Stove","Gas Stove","","Compact gas stoves ideal for single-burner kitchens, student accommodations or as auxiliary burners.",,,"true",2025-07-27T06:35:35.224Z,2025-07-27T06:35:35.224Z,,,,,,,,,,
"261","Triple Burner Stove","Gas Stove","","Triple burner stoves available in different finishes and advanced digital/semi-digital variants. Suitable for larger families.",,,"true",2025-07-27T06:35:35.224Z,2025-07-27T06:35:35.224Z,,,,,,,,,,
"361","Disposable Glass Cover","Glass Covers","","Single-use, paper-based glass covers designed to provide a hygienic drinking glass experience for hotel guests. Helps assure cleanliness and safety in hospitality settings.",,,"true",2025-07-27T06:35:35.239Z,2025-07-27T06:35:35.239Z,,,,"Printed 'Sanitized & Cleaned' message or custom hotel branding, Fits standard hotel glasses, Hygienic, disposable",,,,,,
"357","Hotel Guest Kit","Guest Kits","","A curated collection of essential toiletries and amenities designed to provide a luxurious hotel stay experience. Each kit includes: premium shampoo, conditioner, body wash, body lotion, dental care set, and a comb, all beautifully packed for convenience. Crafted with gentle, skin-friendly ingredients for a refreshing and comfortable guest experience. Suitable for hotels seeking to enhance their amenity offerings.",,,"true",2025-07-27T06:35:35.239Z,2025-07-27T06:35:35.239Z,,,,,,,,,,
"339","Conditioner","Guest Toiletries: 20ml Bottles","","20ml hotel conditioner in convenient bottle. Custom hotel branding possible.",,,"true",2025-07-27T06:35:35.239Z,2025-07-27T06:35:35.239Z,,,,"Premium, skin-friendly ingredients, Recyclable bottles, Custom branding available",,,,,,
"338","Moisturizer","Guest Toiletries: 20ml Bottles","","High-quality 20ml moisturizer, travel-sized for hotels. Custom branding and eco-friendly packaging.",,,"true",2025-07-27T06:35:35.239Z,2025-07-27T06:35:35.239Z,,,,"Premium, skin-friendly ingredients, Recyclable bottles, Custom branding available",,,,,,
"341","Shampoo","Guest Toiletries: 20ml Bottles","","Travel-size hotel shampoo, 20ml per bottle.",,,"true",2025-07-27T06:35:35.239Z,2025-07-27T06:35:35.239Z,,,,"Premium, skin-friendly ingredients, Recyclable bottles, Custom branding available",,,,,,
"340","Shower Gel","Guest Toiletries: 20ml Bottles","","20ml shower gel meant for short-stay guests or travel use.",,,"true",2025-07-27T06:35:35.239Z,2025-07-27T06:35:35.239Z,,,,"Premium, skin-friendly ingredients, Recyclable bottles, Custom branding available",,,,,,
"330","Conditioner","Hotel Amenities","Guest Toiletries","20ml hotel conditioner in convenient bottle. Custom hotel branding possible.",,"conditioner_20ml.jpg","true",2025-07-27T06:35:35.235Z,2025-07-27T06:35:35.235Z,,,,"Premium, skin-friendly ingredients, Recyclable bottles, Custom branding available",,,,,,
"328","Hotel Soap – Round (Yellow)","Hotel Amenities","Hotel Soaps","Round yellow soap bars, ideal for hotel amenities.",,"hotel_soap_yellow.jpg","true",2025-07-27T06:35:35.235Z,2025-07-27T06:35:35.235Z,,,,,,,,,,
"327","Hotel Soap – Square (Orange)","Hotel Amenities","Hotel Soaps","Available in transparent orange square form. Bulk packaging for hotels.",,"hotel_soap_orange.jpg","true",2025-07-27T06:35:35.235Z,2025-07-27T06:35:35.235Z,,,,,,,,,,
"329","Moisturizer","Hotel Amenities","Guest Toiletries","High-quality 20ml moisturizer, travel-sized for hotels. Custom branding and eco-friendly packaging.",,"moisturizer_20ml.jpg","true",2025-07-27T06:35:35.235Z,2025-07-27T06:35:35.235Z,,,,"Premium, skin-friendly ingredients, Recyclable bottles, Custom branding available",,,,,,
"337","Hotel Soap – Custom Branding","Hotel Soaps","","Custom label option available for hotel soaps.",,,"true",2025-07-27T06:35:35.239Z,2025-07-27T06:35:35.239Z,,,,,,,,,,
"334","Hotel Soap – Round (Yellow)","Hotel Soaps","","Round yellow soap bars, ideal for hotel amenities.",,,"true",2025-07-27T06:35:35.239Z,2025-07-27T06:35:35.239Z,,,,,,,,,,
"335","Hotel Soap – Sachet Packaged","Hotel Soaps","","Hotel soap packed in individual sachets for hygienic use.",,,"true",2025-07-27T06:35:35.239Z,2025-07-27T06:35:35.239Z,,,,,,,,,,
"333","Hotel Soap – Square (Orange)","Hotel Soaps","","Available in transparent orange square form. Bulk packaging for hotels.",,,"true",2025-07-27T06:35:35.239Z,2025-07-27T06:35:35.239Z,,,,,,,,,,
"336","Hotel Soap – Square (White)","Hotel Soaps","","White square soaps, available in bulk with optional custom branding.",,,"true",2025-07-27T06:35:35.239Z,2025-07-27T06:35:35.239Z,,,,,,,,,,
"315","Mug Polo","Household Products","Bath Mug","Durable plastic bath mugs in the Polo design",,"mug_polo.jpg","true",2025-07-27T06:35:35.235Z,2025-07-27T06:35:35.235Z,,,,,,,,,,
"316","Mug Square","Household Products","Bath Mug","Square-shaped bath mugs available in plain or printed designs",,"mug_square.jpg","true",2025-07-27T06:35:35.235Z,2025-07-27T06:35:35.235Z,,,,,,,,,,
"317","Papad Box","Household Products","Storage Containers","Specialized containers for storing papads and similar dry snacks",,"papad_box.jpg","true",2025-07-27T06:35:35.235Z,2025-07-27T06:35:35.235Z,,,,,,,,,,
"314","Round Bucket","Household Products","Water Buckets","Round buckets available in printed or plain designs",,"round_bucket.jpg","true",2025-07-27T06:35:35.235Z,2025-07-27T06:35:35.235Z,,,,,,,,,,
"313","Stallio Bucket","Household Products","Water Buckets","Durable plastic buckets available in various sizes and with optional lids",,"stallio_bucket.jpg","true",2025-07-27T06:35:35.235Z,2025-07-27T06:35:35.235Z,"Stallio",,,"Available with or without lid, Durable plastic, Printed options",,,,,,
"318","TP Set","Household Products","Storage Containers","Set of transparent plastic containers for food storage",,"tp_set.jpg","true",2025-07-27T06:35:35.235Z,2025-07-27T06:35:35.235Z,,,,,,,,,,
"324","300 x 200 x 100 mm Crate","Industrial Plastic Crates","300 x 200 Series","Industrial plastic crate suitable for small parts storage",,"300x200x100_crate.jpg","true",2025-07-27T06:35:35.235Z,2025-07-27T06:35:35.235Z,"Saran",,,,,,,,,
"323","300 x 200 x 70 mm Crate","Industrial Plastic Crates","300 x 200 Series","Industrial plastic crate suitable for small parts storage",,"300x200x70_crate.jpg","true",2025-07-27T06:35:35.235Z,2025-07-27T06:35:35.235Z,"Saran",,,,,,,,,
"326","400 x 300 x 100 mm Crate","Industrial Plastic Crates","400 x 300 Series","Industrial plastic crate suitable for medium parts storage",,"400x300x100_crate.jpg","true",2025-07-27T06:35:35.235Z,2025-07-27T06:35:35.235Z,"Saran",,,,,,,,,
"325","400 x 300 x 65 mm Crate","Industrial Plastic Crates","400 x 300 Series","Industrial plastic crate suitable for medium parts storage",,"400x300x65_crate.jpg","true",2025-07-27T06:35:35.235Z,2025-07-27T06:35:35.235Z,"Saran",,,,,,,,,
"319","Aluminium Pressure Cooker","Kitchen World","Pressure Cookers","Crafted from virgin aluminium. Extra heavy gauge, rust-free stainless steel vent tube, bakelite heat-resistant handles, and safety valve.",,"aluminium_pressure_cooker.jpg","true",2025-07-27T06:35:35.235Z,2025-07-27T06:35:35.235Z,"OJAS",,"Aluminium","Virgin aluminium construction, Heavy gauge material, Rust-free stainless steel vent tube, Heat-resistant bakelite handles, Safety valve",,,,,,
"322","Double Burner Stove","Kitchen World","Gas Stoves","Wide range of double-burner stoves in varying finishes, features, and designs for household or semi-commercial use.",,"double_burner_stove.jpg","true",2025-07-27T06:35:35.235Z,2025-07-27T06:35:35.235Z,"OJAS",,,,,,,,,
"320","Elegance Plain Aluminium Pressure Cooker","Kitchen World","Pressure Cookers","Premium virgin aluminium, extra heavy gauge. Rust-free SS vent, heat-resistant bakelite handles, safety valve, and curved body for easy stirring.",,"elegance_plain_cooker.jpg","true",2025-07-27T06:35:35.235Z,2025-07-27T06:35:35.235Z,"OJAS",,"Aluminium","Premium virgin aluminium, Extra heavy gauge, Rust-free stainless steel vent, Heat-resistant bakelite handles, Safety valve, Curved body for easy stirring",,,,,,
"321","Single Burner Stove","Kitchen World","Gas Stoves","Compact gas stoves ideal for single-burner kitchens, student accommodations or as auxiliary burners.",,"single_burner_stove.jpg","true",2025-07-27T06:35:35.235Z,2025-07-27T06:35:35.235Z,"OJAS",,,,,,,,,
"362","Non Woven Disposable Laundry Bag","Laundry Bags","","Single-use laundry bags made from durable non-woven material, designed for hotels and hospitality industry. Ideal for guest laundry collection.",,,"true",2025-07-27T06:35:35.239Z,2025-07-27T06:35:35.239Z,,,,"Disposable and hygienic, Strong non-woven fabric, Drawstring or sealed closure options, Available in different sizes",,,,,,
"311","Divine Pen 1","Metal Pens","Innovate & Other Series","Premium metal pen from the Innovate Series collection",,"innovate_divine_1.jpg","true",2025-07-27T06:35:35.235Z,2025-07-27T06:35:35.235Z,"Dyna","Innovate Series","Metal","Smooth writing experience, Premium metal construction, Elegant design",,,,,,
"312","Divine Pen 2","Metal Pens","Innovate & Other Series","Premium metal pen from the Innovate Series collection",,"innovate_divine_2.jpg","true",2025-07-27T06:35:35.235Z,2025-07-27T06:35:35.235Z,"Dyna","Innovate Series","Metal","Smooth writing experience, Premium metal construction, Elegant design",,,,,,
"307","Essence","Metal Pens","Vertex Series","Premium metal pen from the Vertex Series collection",,"vertex_essence.jpg","true",2025-07-27T06:35:35.235Z,2025-07-27T06:35:35.235Z,"Dyna","Vertex Series","Metal","Smooth writing experience, Premium metal construction, Elegant design",,,,,,
"308","Essence","Metal Pens","Vertex Series","Premium metal pen from the Vertex Series collection",,"vertex_essence_2.jpg","true",2025-07-27T06:35:35.235Z,2025-07-27T06:35:35.235Z,"Dyna","Vertex Series","Metal","Smooth writing experience, Premium metal construction, Elegant design",,,,,,
"309","Galaxy","Metal Pens","Lumin Series","Premium metal pen from the Lumin Series collection",,"lumin_galaxy.jpg","true",2025-07-27T06:35:35.235Z,2025-07-27T06:35:35.235Z,"Dyna","Lumin Series","Metal","Smooth writing experience, Premium metal construction, Elegant design",,,,,,
"310","Galaxy","Metal Pens","Lumin Series","Premium metal pen from the Lumin Series collection",,"lumin_galaxy_2.jpg","true",2025-07-27T06:35:35.235Z,2025-07-27T06:35:35.235Z,"Dyna","Lumin Series","Metal","Smooth writing experience, Premium metal construction, Elegant design",,,,,,
"305","Sovereign","Metal Pens","Astral Series","Premium metal pen from the Astral Series collection",,"astral_sovereign.jpg","true",2025-07-27T06:35:35.235Z,2025-07-27T06:35:35.235Z,"Dyna","Astral Series","Metal","Smooth writing experience, Premium metal construction, Elegant design",,,,,,
"306","Zenith","Metal Pens","Astral Series","Premium metal pen from the Astral Series collection",,"astral_zenith.jpg","true",2025-07-27T06:35:35.235Z,2025-07-27T06:35:35.235Z,"Dyna","Astral Series","Metal","Smooth writing experience, Premium metal construction, Elegant design",,,,,,
"358","Naphthalene Balls (Colored)","Naphthalene Balls","","Multi-colored naphthalene balls used for deodorizing and insect repellent purposes in closets, bathrooms, and storage spaces. Available in attractive pastel colors.",,,"true",2025-07-27T06:35:35.239Z,2025-07-27T06:35:35.239Z,,,,"Long-lasting fragrance, Protects clothes and storage spaces from insects, Ideal for hotels, homes, wardrobes, and restrooms",,,,,,
"359","Naphthalene Balls (White)","Naphthalene Balls","","Classic white naphthalene balls, ideal for repelling insects and maintaining a fresh scent in various storage and sanitary areas.",,,"true",2025-07-27T06:35:35.239Z,2025-07-27T06:35:35.239Z,,,,"Traditional strong fragrance, Multi-purpose use",,,,,,
